Symbol,Sector,
AA,Alcoa,Materials
AAL,American Airlines Group, Industrials
AAON,AAON,Industrials
ACHC,Acadia Healthcare,Health Care
ACM,AECOM,Industrials
ADC,Agree Realty,Real Estate
AFG,American Financial Group,Financials
AGCO,AGCO,Industrials
AIT,Applied Industrial Technologies,Industrials
ALE,ALLETE,Utilities
ALGM,Allegro MicroSystems,Information Technology
ALLY,Ally Financial,Financials
ALTM,Arcadium Lithium,Materials
ALTR,Altair Engineering,Information Technology
ALV,Autoliv,Consumer Discretionary
AM,Antero Midstream,Energy
AMED,Amedisys,Health Care
AMG,Affiliated Managers Group,Financials
AMH,American Homes 4 Rent,Real Estate
AMKR,Amkor Technology,Information Technology
AN,AutoNation,Consumer Discretionary
ANF,Abercrombie & Fitch,Consumer Discretionary
APPF,AppFolio,Information Technology
AR,Antero Resources,Energy
ARMK,Aramark,Consumer Discretionary
ARW,Arrow Electronics,Information Technology
ARWR,Arrowhead Pharmaceuticals,Health Care
ASB,Associated Bank,Financials
ASGN,ASGN Inc.,Information Technology
ASH,Ashland Global,Materials
ATR,AptarGroup,Materials
AVNT,Avient,Materials
AVT,Avnet,Information Technology
AVTR,Avantor,Health Care
AXTA,Axalta,Materials
AYI,Acuity Brands,Industrials
AZPN,Aspen Technology,Information Technology
AZTA,Azenta,Health Care
BC,Brunswick,Consumer Discretionary
BCO,Brink's,Industrials
BDC,Belden,Information Technology
BERY,Berry Global,Materials
BHF,Brighthouse Financial,Financials
BIO,Bio-Rad Laboratories,Health Care
BJ,BJ's Wholesale Club,Consumer Staples
BKH,Black Hills Corporation,Utilities
BLD,TopBuild Corp.,Consumer Discretionary
BLKB,Blackbaud,Information Technology
BMRN,BioMarin Pharmaceutical,Health Care
BRBR,BellRing Brands,Consumer Staples
BRKR,Bruker,Health Care
BRX,Brixmor Property Group,Real Estate
BURL,Burlington,Consumer Discretionary
BWXT,BWX Technologies,Industrials
BYD,Boyd Gaming,Consumer Discretionary
CACI,CACI International,Industrials
CADE,Cadence Bank,Financials
CAR,Avis Budget Group,Industrials
CASY,Casey's General Stores,Consumer Staples
CBSH,Commerce Bancshares,Financials
CBT,Cabot Corp,Materials
CC,Chemours,Materials
CCK,Crown Holdings,Materials
CDP,COPT Defense Properties,Real Estate
CELH,Celsius Holdings,Consumer Staples
CFR,Frost Bank,Financials
CG,Carlyle Group,Financials
CGNX,Cognex,Information Technology
CHDN,Churchill Downs Inc.,Consumer Discretionary
CHE,Chemed Corp.,Health Care
CHH,Choice Hotels,Consumer Discretionary
CHRD,Chord Energy,Energy
CHX,ChampionX,Energy
CIEN,Ciena,Information Technology
CIVI,Civitas Resources,Energy
CLF,Cleveland-Cliffs,Materials
CLH,Clean Harbors,Industrials
CMC,Commercial Metals,Materials
CNH,CNH Industrial,Industrials
CNM,Core & Main,Industrials
CNO,CNO Financial Group,Financials
CNX,CNX Resources,Energy
CNXC,Concentrix,Industrials
COHR,Coherent Corp.,Information Technology
COKE,Coca-Cola Consolidated,Consumer Staples
COLB,Columbia Banking System,Financials
COLM,Columbia Sportswear,Consumer Discretionary
COTY,Coty,Consumer Staples
CPRI,Capri Holdings,Consumer Discretionary
CR,Crane,Industrials
CRI,Carter's,Consumer Discretionary
CROX,Crocs,Consumer Discretionary
CRUS,Cirrus Logic,Information Technology
CSL,Carlisle Companies,Industrials
CUBE,CubeSmart,Real Estate
CUZ,Cousins Properties,Real Estate
CVLT,CommVault Systems,Information Technology
CW,Curtiss-Wright,Industrials
CXT,Crane NXT,Information Technology
CYTK,Cytokinetics,Health Care
DAR,Darling Ingredients,Consumer Staples
DBX,Dropbox,Information Technology
DCI,Donaldson,Industrials
DINO,HF Sinclair,Energy
DKS,Dick's Sporting Goods,Consumer Discretionary
DLB,Dolby,Information Technology
DOCS,Doximity,Health Care
DOCU,Docusign,Information Technology
DT,Dynatrace,Information Technology
DTM,DT Midstream,Energy
DUOL,Duolingo,Consumer Discretionary
EEFT,Euronet Worldwide,Financials
EGP,EastGroup Properties,Real Estate
EHC,Encompass Health,Health Care
ELF,e.l.f. Beauty,Consumer Staples
ELS,Equity Lifestyle Properties,Real Estate
EME,Emcor,Industrials
ENOV,Enovis,Health Care
ENS,EnerSys,Industrials
ENSG,Ensign Group,Health Care
EPR,EPR Properties,Real Estate
EQH,Equitable Holdings,Financials
ESAB,ESAB,Industrials
ESNT,Essent Group Ltd.,Financials
EVR,Evercore,Financials
EWBC,East West Bancorp,Financials
EXE,Expand Energy,Energy
EXEL,Exelixis,Health Care
EXLS,EXL Service,Industrials
EXP,Eagle Materials,Materials
EXPO,Exponent Inc.,Industrials
FAF,First American Financial Corporation,Financials
FBIN,Fortune Brands Innovations,Industrials
FCFS,FirstCash,Financials
FCN,FTI Consulting,Industrials
FFIN,First Financial Bankshares,Financials
FHI,Federated Hermes,Financials
FHN,First Horizon,Financials
FIVE,Five Below,Consumer Discretionary
FIX,Comfort Systems USA,Industrials
FLO,Flowers Foods,Consumer Staples
FLR,Fluor,Industrials
FLS,Flowserve,Industrials
FN,Fabrinet,Information Technology
FNB,FNB Corporation,Financials
FND,Floor & Decor,Consumer Discretionary
FNF,Fidelity National Financial,Financials
FR,First Industrial Realty Trust,Real Estate
FYBR,Frontier Communications,Communication Services
G,Genpact,Industrials
GAP,Gap Inc.,Consumer Discretionary
GATX,GATX,Industrials
GBCI,Glacier Bancorp,Financials
GEF,Greif Inc.,Materials
GGG,Graco,Industrials
GHC,Graham Holdings,Consumer Discretionary
GLPI,Gaming and Leisure Properties,Real Estate
GME,GameStop,Consumer Discretionary
GMED,Globus Medical,Health Care
GNTX,Gentex,Consumer Discretionary
GPK,Graphic Packaging,Materials
GT,Goodyear Tire & Rubber,Consumer Discretionary
GTLS,Chart Industries,Industrials
GXO,GXO Logistics,Industrials
H,Hyatt,Consumer Discretionary
HAE,Haemonetics,Health Care
HALO,Halozyme,Health Care
HGV,Hilton Grand Vacations,Consumer Discretionary
HLI,Houlihan Lokey,Financials
HLNE,Hamilton Lane,Financials
HOG,Harley-Davidson,Consumer Discretionary
HOMB,Home BancShares,Financials
HQY,HealthEquity,Health Care
HR,Healthcare Realty Trust,Real Estate
HRB,H&R Block,Consumer Discretionary
HWC,Hancock Whitney,Financials
HXL,Hexcel,Industrials
IBKR,Interactive Brokers,Financials
IBOC,Intl Bancshares Corp,Financials
IDA,Idacorp,Utilities
ILMN,Illumina Inc.,Health Care
INGR,Ingredion,Consumer Staples
IPGP,IPG Photonics,Information Technology
IRDM,Iridium Communications,Communication Services
IRT,IRT Living,Real Estate
ITT,ITT,Industrials
JAZZ,Jazz Pharmaceuticals,Health Care
JEF,Jefferies,Financials
JHG,Janus Henderson,Financials
JLL,Jones Lang LaSalle,Real Estate
JWN,Nordstrom,Consumer Discretionary
KBH,KB Home,Consumer Discretionary
KBR,KBR,Industrials
KD,Kyndryl,Information Technology
KEX,Kirby,Industrials
KMPR,Kemper,Financials
KNF,Knife River Corporation,Materials
KNSL,Kinsale Capital Group,Financials
KNX,Knight-Swift,Industrials
KRC,Kilroy Realty Corp,Real Estate
KRG,Kite Realty Group Trust,Real Estate
LAD,Lithia Motors,Consumer Discretionary
LAMR,Lamar Advertising Company,Real Estate
LANC,Lancaster Colony Corp,Consumer Staples
LEA,Lear,Consumer Discretionary
LECO,Lincoln Electric,Industrials
LFUS,Littelfuse,Information Technology
LII,Lennox International,Industrials
LITE,Lumentum Holdings,Information Technology
LIVN,LivaNova,Health Care
LNTH,Lantheus Holdings,Health Care
LNW,Light & Wonder,Consumer Discretionary
LOPE,Grand Canyon Education,Consumer Discretionary
LPX,Louisiana-Pacific,Materials
LSCC,Lattice Semiconductor,Information Technology
LSTR,Landstar System,Industrials
M,Macy's,Consumer Discretionary
MAN,ManpowerGroup,Industrials
MANH,Manhattan Associates,Information Technology
MASI,Masimo,Health Care
MAT,Mattel,Consumer Discretionary
MEDP,Medpace,Health Care
MIDD,Middleby,Industrials
MKSI,MKS Instruments,Information Technology
MMS,Maximus Inc.,Industrials
MORN,Morningstar Inc.,Financials
MSA,MSA Safety,Industrials
MSM,MSC Industrial Direct,
MTDR,Matador Resources,Energy
MTG,MGIC Investment Corporation,Financials
MTN,Vail Resorts,Consumer Discretionary
MTSI,MACOM Technology Solutions,Information Technology
MTZ,MasTec,Industrials
MUR,Murphy Oil,Energy
MUSA,Murphy USA,Consumer Discretionary
NBIX,Neurocrine Biosciences,Health Care
NEOG,Neogen,Health Care
NEU,NewMarket Corporation,Materials
NFG,National Fuel Gas,Utilities
NJR,New Jersey Resources,Utilities
NLY,Annaly Capital Management,Financials
NNN,NNN Reit,Real Estate
NOV,Nov,Energy
NOVT,Novanta,Information Technology
NSA,National Storage Affiliates Trust,Real Estate
NSP,Insperity,Industrials
NVST,Envista Holdings,Health Care
NVT,nVent Electric plc,Industrials
NWE,NorthWestern Corporation,Utilities
NXST,Nexstar Media Group,Communication Services
NXT,Nextracker,Industrials
FLG,Flagstar Financial Inc,Financials
NYT,New York Times Company,Communication Services
OC,Owens Corning,Industrials
OGE,OGE Energy,Utilities
OGS,ONE Gas,Utilities
OHI,Omega Healthcare Investors,Real Estate
OLED,Universal Display,Information Technology
OLLI,Ollie's Bargain Outlet,Consumer Discretionary
OLN,Olin,Materials
ONB,Old National Bank,Financials
ONTO,Onto Innovation,Information Technology
OPCH,Option Care Health,Health Care
ORA,Ormat Technologies,Utilities
ORI,Old Republic International,Financials
OSK,Oshkosh,Industrials
OVV,Ovintiv,Energy
OZK,Bank OZK,Financials
PAG,Penske Automotive Group,Consumer Discretionary
PB,Prosperity Bancshares,Financials
PBF,PBF Energy,Energy
PCH,PotlatchDeltic,Real Estate
PCTY,Paylocity,Industrials
PEN,Penumbra,Health Care
PFGC,Performance Food Group,Consumer Staples
PII,Polaris,Consumer Discretionary
PK,Park Hotels & Resorts,Real Estate
PLNT,Planet Fitness,Consumer Discretionary
PNFP,Pinnacle Financial Partners,Financials
TXNM,TXNM Energy,Utilities
POR,Portland General Electric,Utilities
POST,Post Holdings,Consumer Staples
POWI,Power Integrations,Information Technology
PPC,Pilgrim's Pride,Consumer Staples
PR,Permian Resources,Energy
PRGO,Perrigo,Health Care
PRI,Primerica,Financials
PSN,Parsons Corporation,Industrials
PSTG,Pure Storage,Information Technology
PVH,PVH,Consumer Discretionary
QLYS,Qualys,Information Technology
R,Ryder,Industrials
RBA,RB Global,Industrials
RBC,RBC Bearings,Industrials
RCM,R1 RCM,Health Care
REXR,Rexford Industrial Realty,Real Estate
RGA,Reinsurance Group of America,Financials
RGEN,Repligen,Health Care
RGLD,Royal Gold,Materials
RH,RH,Consumer Discretionary
RLI,RLI,Financials
RMBS,Rambus,Information Technology
RNR,RenaissanceRe,Financials
ROIV,Roivant Sciences,Health Care
RPM,RPM International,Materials
RRC,Range Resources,Energy
RRX,Regal Rexnord,Industrials
RS,Reliance Steel & Aluminum Co.,Materials
RYAN,Ryan Specialty,Financials
RYN,Rayonier,Real Estate
SAIA,Saia,Industrials
SAIC,Science Applications Intl Corp,Industrials
SAM,Boston Beer Company,Consumer Staples
SBRA,Sabra Health Care REIT,Real Estate
SCI,Service Corp Intl,Consumer Discretionary
SEIC,SEI,Financials
SF,Stifel,Financials
SFM,Sprouts Farmers Market,Consumer Staples
SHC,Sotera Health,Health Care
SIGI,Selective Insurance Group,Financials
SKX,Skechers,Consumer Discretionary
SLAB,Silicon Labs,Information Technology
SLGN,Silgan Holdings,Materials
SLM,SLM Corp,Financials
SMG,Scotts Miracle-Gro Company,Materials
SNV,Synovus,Financials
SNX,TD Synnex,Information Technology
SON,Sonoco,Materials
SR,Spire,Utilities
SRPT,Sarepta Therapeutics,Health Care
SSB,South State Bank,Financials
SSD,Simpson Manufacturing,Industrials
ST,Sensata Technologies,Industrials
STAG,STAG Industrial,Real Estate
STWD,Starwood Property Trust,Financials
SWX,Southwest Gas Corp,Utilities
SYNA,Synaptics,Information Technology
TCBI,Texas Capital Bancshares,Financials
TDC,Teradata,Information Technology
TEX,Terex,Industrials
THC,Tenet Health,Health Care
THG,Hanover Insurance,Financials
THO,Thor Industries,Consumer Discretionary
TKO,TKO Group Holdings,Communication Services
TKR,Timken,Industrials
TMHC,Taylor Morrison,Consumer Discretionary
TNL,Travel + Leisure Co.,Consumer Discretionary
TOL,Toll Brothers,Consumer Discretionary
TPL,Texas Pacific Land,Energy
TPX,Tempur Sealy,Consumer Discretionary
TREX,Trex,Industrials
TTC,Toro,Industrials
TTEK,Tetra Tech,Industrials
TXRH,Texas Roadhouse,Consumer Discretionary
UA,Under Armour (Class C),Consumer Discretionary
UAA,Under Armour (Class A),Consumer Discretionary
UBSI,United Bankshares,Financials
UFPI,UFP Industries,Industrials
UGI,UGI Corp,Utilities
UMBF,UMB Financial Corp.,Financials
UNM,Unum,Financials
USFD,US Foods,Consumer Staples
UTHR,United Therapeutics,Health Care
VAC,Marriott Vacations Worldwide,Consumer Discretionary
VAL,Valaris,Energy
VC,Visteon,Consumer Discretionary
VLY,Valley Bank,Financials
VMI,Valmont,Industrials
VNO,Vornado Realty Trust,Real Estate
VNOM,Viper Energy,Energy
VNT,Vontier,Information Technology
VOYA,Voya Financial,Financials
VSH,Vishay,Information Technology
VVV,Valvoline,Consumer Discretionary
WAL,Western Alliance Bancorporation,Financials
WBS,Webster Bank,Financials
WCC,WESCO International,Industrials
WEN,Wendy's,Consumer Discretionary
WEX,WEX Inc.,Financials
WFRD,Weatherford International,Energy
WH,Wyndham Hotels & Resorts,Consumer Discretionary
WHR,Whirlpool,Consumer Discretionary
WING,Wingstop,Consumer Discretionary
WLK,Westlake,Materials
WMG,Warner Music Group,Communication Services
WMS,Advanced Drainage Systems,Industrials
WPC,W. P. Carey,Real Estate
WSM,Williams-Sonoma,Consumer Discretionary
WSO,Watsco,Industrials
WTFC,Wintrust,Financials
WTRG,Essential Utilities,Utilities
WTS,Watts Water Technologies,Industrials
WU,Western Union,Financials
WWD,Woodward,Industrials
X,U.S. Steel,Materials
XPO,XPO Inc.,Industrials
XRAY,Dentsply Sirona,Health Care
YETI,Yeti,Consumer Discretionary
ZI,ZoomInfo,Communication Services
ZION,Zions Bancorporation,Financials